,Country,Port,Longitude,Latitude
0,Afghanistan,Kabul,69.16055555555556,34.54388888888889
1,Albania,Durres,19.448611111111113,41.31861111111112
2,Albania,Sarande,20.0,39.88305555555556
3,Albania,Shengjin,19.6,41.81666666666667
4,Albania,Valona,19.498333333333335,40.44972222222222
5,Albania,Vlore,19.45861111111111,40.49666666666667
6,Algeria,Algeria,3.063611111111111,36.78111111111111
7,Algeria,Annaba,7.770833333333333,36.908055555555556
8,Algeria,Arzew,,35.823055555555555
9,Algeria,Arzew El-Djedid,,35.79527777777778
10,Algeria,Bejaia,5.076111111111111,36.75
11,Algeria,Benisaf,,35.169999999999995
12,Algeria,Beni Saf,,35.3
13,Algeria,Cherchell,2.1830555555555553,36.6
14,Algeria,Collo,6.5377777777777775,37.047777777777775
15,Algeria,Dellys,3.9166666666666665,36.916666666666664
16,Algeria,Djazair,3.065,36.78583333333333
17,Algeria,Djen-Djen,5.883055555555556,36.81666666666667
18,Algeria,Ghazaouet,,35.1
19,Algeria,Jijel,5.766111111111111,36.824444444444445
20,Algeria,Mestghanem,0.08305555555555555,35.933055555555555
21,Algeria,Mostaganem,0.06472222222222222,35.91638888888889
22,Algeria,Oran,,35.71666666666667
23,Algeria,Port Methanier,6.968333333333334,36.88
24,Algeria,Skikda,6.889444444444444,36.88472222222222
25,Algeria,Tenes,1.331388888888889,36.51694444444444
26,American Samoa,Pago Pago,,
27,Angola,Ambriz,13.109444444444444,
28,Angola,Cabinda,12.187222222222223,
29,Angola,Essungo Marine Terminal,12.323888888888888,
30,Angola,Futila Terminal,12.212777777777777,
31,Angola,Girassol Terminal,12.96861111111111,
32,Angola,Kiabo Marine Terminal,12.919722222222221,
33,Angola,Kiame Marine Terminal,12.85,
34,Angola,Lobito,13.540555555555555,
35,Angola,Lombo Marine Terminal,12.543611111111112,
36,Angola,Luanda,13.255,
37,Angola,Malongo Terminal,12.140555555555554,
38,Angola,Mocamedes,12.116666666666667,
39,Angola,Palanca Terminal,12.674444444444443,
40,Angola,Porto Amboim,13.75,
41,Angola,Soyo,12.290833333333333,
42,Angola,Sumbe,13.84,
43,Angola,Takula Terminal,12.016666666666667,
44,Antigua and Barbuda,St. Johns,,17.116666666666667
45,Argentina,Arroyo Seco,,
46,Argentina,Atucha,,
47,Argentina,Bahia Blanca,,
48,Argentina,Buenos Aires,,
49,Argentina,Caleta Paula,,
50,Argentina,Campana,,
51,Argentina,Comodoro Rivadacomod,,
52,Argentina,Concepcion,,
53,Argentina,Deseado,,
54,Argentina,Diamante,,
55,Argentina,Ensenada,,
56,Argentina,Ibicuy,,
57,Argentina,La Plata,,
58,Argentina,Mar del Plata,,
59,Argentina,Puerto Deseado,,
60,Argentina,Puerto Madryn,,
61,Argentina,Puerto Martins,,
62,Argentina,Puerto Parana,,
63,Argentina,Punta Colorada,,
64,Argentina,Punta Loyola,,
65,Argentina,Quequen,,
66,Argentina,Ramallo,,
67,Argentina,Rio Cullen Marine Terminal,,
68,Argentina,Rio Gallegos,,
69,Argentina,Rio Grande,,
70,Argentina,Rosario,,
71,Argentina,San Antonio Este,,
72,Argentina,San Julian,,
73,Argentina,San Lorenzo,,
74,Argentina,San Nicolas,,
75,Argentina,San Sebastian Bay,,
76,Argentina,Santa Cruz,,
77,Argentina,Santa Fe,,
78,Argentina,Ushuaia,,
79,Argentina,Villa Constitucvilla,,
80,Argentina,Zarate,,
81,Aruba,Aruba,,12.475277777777778
82,Aruba,Barcadera,,12.481666666666667
83,Aruba,Oranjestad,,12.537777777777778
84,Aruba,San Nicolas,,12.433055555555555
85,Australia,Abbot Point,148.05555555555557,
86,Australia,Adelaide,138.48805555555555,
87,Australia,Airlie Island,115.16722222222222,
88,Australia,Albany,117.85027777777778,
89,Australia,Ardrossan,137.91666666666666,
90,Australia,Ballast Head,137.7613888888889,
91,Australia,Barrow Island,115.40694444444445,
92,Australia,Bell Bay,146.81583333333336,
93,Australia,Bing Bong,136.21972222222223,
94,Australia,Botany Bay,151.23916666666665,
95,Australia,Brisbane,153.18305555555554,
96,Australia,Broome,122.23333333333333,
97,Australia,Bunbury,115.63444444444445,
98,Australia,Bundaberg,152.38861111111112,
99,Australia,Burnie,145.89249999999998,
100,Australia,Cairns,145.78305555555556,
101,Australia,Cape Cuvier,113.41611111111112,
102,Australia,Cape Flattery,145.2836111111111,
103,Australia,Cape Jervis,138.13833333333332,
